Time,Reagents_moleccm3,SA_moleccm3,IA_moleccm3,Monomers_moleccm3,NitrogenMonomers_moleccm3,Dimers_moleccm3,NitrogenDimers_moleccm3,TotalOrganics_moleccm3,CO_ppb,NO_ppb,NO2_ppb,O3_ppb,SO2_ppb
2022-12-16 15:00:00,,,,,,,,,,,,,0.18
2022-12-16 16:00:00,,,,,,,,,,,,,0.16
2022-12-16 17:00:00,,,,,,,,,,,,,0.14
2022-12-16 18:00:00,,,,,,,,,,,,,0.18
2022-12-16 19:00:00,,,,,,,,,,,,,0.13
2022-12-16 20:00:00,,,,,,,,,,,,,0.15
2022-12-16 21:00:00,,,,,,,,,,,,,0.16
2022-12-16 22:00:00,,,,,,,,,,,,,0.15
2022-12-16 23:00:00,,,,,,,,,,,,,0.15
2022-12-17 00:00:00,,,,,,,,,,,,,0.16
2022-12-17 01:00:00,,,,,,,,,,,,,0.15
2022-12-17 02:00:00,,,,,,,,,,,,,0.14
2022-12-17 03:00:00,,,,,,,,,,,,,0.16
2022-12-17 04:00:00,,,,,,,,,,,,,0.16
2022-12-17 05:00:00,,,,,,,,,,,,,0.16
2022-12-17 06:00:00,,,,,,,,,,,,,0.16
2022-12-17 07:00:00,,,,,,,,,,,,,0.14
2022-12-17 08:00:00,,,,,,,,,,,,,0.15
2022-12-17 09:00:00,,,,,,,,,,,,,0.17
2022-12-17 10:00:00,,,,,,,,,,,,,0.16
2022-12-17 11:00:00,,,,,,,,,,,,,0.16
2022-12-17 12:00:00,,,,,,,,,,,,,0.16
2022-12-17 13:00:00,,,,,,,,,,,,,0.15
2022-12-17 14:00:00,,,,,,,,,,,,,0.16
2022-12-17 15:00:00,,,,,,,,,,,,,0.16
2022-12-17 16:00:00,,,,,,,,,,,,,0.19
2022-12-17 17:00:00,,,,,,,,,,,,,0.16
2022-12-17 18:00:00,,,,,,,,,,,,,0.2
2022-12-17 19:00:00,,,,,,,,,,,,,0.22
2022-12-17 20:00:00,,,,,,,,,,,,,0.22
2022-12-17 21:00:00,,,,,,,,,,,,,0.23
2022-12-17 22:00:00,,,,,,,,,,,,,0.28
2022-12-17 23:00:00,,,,,,,,,,,,,0.29
2022-12-18 00:00:00,,,,,,,,,,,,,0.28
2022-12-18 01:00:00,,,,,,,,,,,,,0.28
2022-12-18 02:00:00,,,,,,,,,,,,,0.26
2022-12-18 03:00:00,,,,,,,,,,,,,0.27
2022-12-18 04:00:00,,,,,,,,,,,,,0.27
2022-12-18 05:00:00,,,,,,,,,,,,,0.27
2022-12-18 06:00:00,,,,,,,,,,,,,0.27
2022-12-18 07:00:00,,,,,,,,,,,,,0.26
2022-12-18 08:00:00,,,,,,,,,,,,,0.26
2022-12-18 09:00:00,,,,,,,,,,,,,0.27
2022-12-18 10:00:00,,,,,,,,,,,,,0.26
2022-12-18 11:00:00,,,,,,,,,,,,,0.28
2022-12-18 12:00:00,,,,,,,,,,,,,0.3
2022-12-18 13:00:00,,,,,,,,,,,,,0.29
2022-12-18 14:00:00,,,,,,,,,,,,,0.31
2022-12-18 15:00:00,,,,,,,,,,,,,0.35
2022-12-18 16:00:00,,,,,,,,,,,,,0.34
2022-12-18 17:00:00,,,,,,,,,,,,,0.31
2022-12-18 18:00:00,,,,,,,,,,,,,0.3
2022-12-18 19:00:00,,,,,,,,,,,,,0.31
2022-12-18 20:00:00,,,,,,,,,,,,,0.31
2022-12-18 21:00:00,,,,,,,,,,,,,0.32
2022-12-18 22:00:00,,,,,,,,,,,,,0.31
2022-12-18 23:00:00,,,,,,,,,,,,,0.31
2022-12-19 00:00:00,,,,,,,,,,,,,0.3
2022-12-19 01:00:00,,,,,,,,,,,,,0.3
2022-12-19 02:00:00,,,,,,,,,,,,,0.28
2022-12-19 03:00:00,,,,,,,,,,,,,0.28
2022-12-19 04:00:00,,,,,,,,,,,,,0.26
2022-12-19 05:00:00,,,,,,,,,,,,,0.27
2022-12-19 06:00:00,,,,,,,,,,,,,0.27
2022-12-19 07:00:00,,,,,,,,,,,,,0.26
2022-12-19 08:00:00,,,,,,,,,,,,,0.24
2022-12-19 09:00:00,,,,,,,,,,,,,0.25
